Algorithm;Input;Solution;Time
greedy;336;4255.0;5.86923076923077e-05
greedy;337;3943.0;5.030769230769231e-05
greedy;338;4091.0;4.5230769230769237e-05
greedy;339;4272.0;4.523076923076923e-05
greedy;34;930.0;7.46153846153846e-06
greedy;340;4514.0;4.807692307692308e-05
greedy;34000;32063.0;0.005137923076923077
greedy;341;4505.0;4.430769230769231e-05
greedy;342;4540.0;4.707692307692308e-05
greedy;343;4252.0;5.692307692307693e-05
greedy;344;4289.0;4.3153846153846146e-05
greedy;345;4084.0;4.2923076923076926e-05
greedy;346;4582.0;5.446153846153846e-05
greedy;347;4201.0;4.384615384615385e-05
greedy;348;4408.0;4.2999999999999995e-05
greedy;349;4210.0;4.976923076923077e-05
greedy;35;813.0;7.384615384615384e-06
greedy;350;3949.0;4.0999999999999994e-05
greedy;35000;31685.0;0.005789384615384616
greedy;351;4231.0;4.8153846153846146e-05
greedy;352;4522.0;5.892307692307692e-05
greedy;353;4685.0;5.138461538461539e-05
greedy;354;3997.0;4.876923076923077e-05
greedy;355;3995.0;4.892307692307693e-05
greedy;356;4356.0;5.723076923076923e-05
greedy;357;4390.0;4.430769230769231e-05
greedy;358;4058.0;4.399999999999999e-05
greedy;359;4359.0;5.023076923076924e-05
greedy;36;948.0;6.923076923076922e-06
greedy;360;4470.0;5.438461538461539e-05
greedy;36000;32204.0;0.005347384615384615
greedy;361;3938.0;4.584615384615384e-05
greedy;362;4483.0;5.884615384615385e-05
greedy;363;4413.0;5.407692307692306e-05
greedy;364;4262.0;5.715384615384614e-05
greedy;365;4410.0;4.8461538461538455e-05
greedy;366;4733.0;4.846153846153846e-05
greedy;367;4668.0;5.238461538461538e-05
greedy;368;4283.0;5.3e-05
greedy;369;4272.0;5.4e-05
greedy;37;968.0;7.384615384615385e-06
greedy;370;4467.0;7.607692307692307e-05
greedy;37000;31478.0;0.005418307692307693
greedy;371;4663.0;6.661538461538461e-05
greedy;372;4067.0;6.06923076923077e-05
greedy;373;4553.0;6.661538461538462e-05
greedy;374;4474.0;7.107692307692307e-05
greedy;375;4705.0;5.438461538461539e-05
